,category,event_name,gender,age,marital_status,session_id,device,client_time,latitude,longitude,state
38,Sports,View Project,M,18-24,married,141e5fd174254e84b10385ef216a1257,iOS,1393633816,33.797854,-84.387726,GA
39,Sports,View Project,U,35-44,single,85c4ded5d82e41b693fbde3ac5d475ca,android,1393633822,30.274539,-81.786671,FL
40,Environment,View Project,M,55+,married,3dfe6a558cf5413aa92ddc09d101a94c,iOS,1393633934,39.386175,-85.238529,IN
41,Environment,View Project,F,35-44,single,80172a2e4da34e398b0d123642b69245,iOS,1393633988,26.139766,-80.359157,FL
42,Environment,View Project,F,45-54,married,484d75f1a2cc4d57ab0e296b5b32e688,android,1393634033,47.432251,-121.803388,WA
43,Environment,View Project,F,35-44,single,c77ef08290084a41b832e365ecb6ca2a,iOS,1393634081,27.420316,-80.945361,FL
44,Sports,View Project,M,55+,single,69fcfb70b516478dba9074de5d46f59b,iOS,1393634143,31.357528,-109.611545,AZ
45,Sports,View Project,M,25-34,single,3fb109cf62964a24ad45a76ad1d7ad5a,android,1393634198,38.186519,-85.833463,KY
46,Sports,View Project,M,18-24,married,743c9212e2bd48ab96b28ef89828d1ea,iOS,1393634201,40.7735,-74.397996,NJ
47,Environment,View Project,F,18-24,single,6376b261544043afa60465337704aaca,android,1393634288,33.834989,-84.386826,GA
48,Environment,View Project,M,45-54,single,75e4353b40714b72bc1d481d632878b7,android,1393634297,37.683184,-84.583605,KY
49,Environment,View Project,M,18-24,single,32aacd15af774ff4a352c77ee3d36359,android,1393634362,38.138118,-85.69526,KY
50,Sports,View Project,M,45-54,single,6ab0c153cb994e428a304be01a7dc652,android,1393634409,33.786594,-118.298662,CA
51,Sports,View Project,F,25-34,single,b3498d330fe240e6827033bf87bdd23b,android,1393634418,38.347927,-76.621613,MD
52,Environment,View Project,M,18-24,married,6bdb75d1902e4fbab725223b2f64a4ae,iOS,1393634450,45.408374,-122.691388,OR
53,Sports,View Project,M,18-24,married,5d0aaf06008349ed8d4fa21e2f271b12,iOS,1393634456,45.343615,-122.664926,OR
54,Environment,View Project,F,18-24,married,23d7d2e2f5a448cf88f9d479564b4be6,android,1393634463,33.797854,-84.387726,GA
55,Sports,View Project,F,25-34,single,b3241de09a664fe3a9230feb17b42d27,android,1393634494,34.839964,-115.967051,CA
56,Sports,View Project,F,18-24,married,cd203d88266146b58fbe39029ab3b934,iOS,1393634555,40.094787,-105.278083,CO
57,Sports,View Project,M,18-24,single,95ea20d2293542b7afacfae80b3ddcbb,android,1393634566,45.408374,-122.691388,OR
58,Sports,View Project,F,35-44,married,79ed6012309f4ea7bf8e2f4e04e07257,android,1393634789,39.433206,-76.654593,MD
59,Sports,View Project,M,18-24,single,d97b8ecac9f740a5a3dbbcb4bd23fd47,iOS,1393634810,39.980835,-105.269915,CO
60,Sports,View Project,F,18-24,married,eafe6846a5964761a367953bb31d6784,iOS,1393634907,41.118594,-96.060367,NE
61,Environment,View Project,M,25-34,married,1a908c15b1234ec3b887ef5aab9d7975,android,1393635006,32.909715,-97.526302,TX
62,Sports,View Project,M,18-24,single,2e73896577fd42e38ee9c4940154abce,iOS,1393635028,37.863751,-84.565075,KY
63,Environment,View Project,F,18-24,single,a1f705ad78db4ac4b29fe37d2ced5d82,iOS,1393635062,33.829743,-84.381529,GA
64,Sports,View Project,F,18-24,married,7e934653a2f940e28a77589901b39812,iOS,1393635099,39.827818,-105.109236,CO
65,Environment,View Project,F,18-24,married,290f5c4df24042ec8a7292a332172ed2,iOS,1393635138,33.834989,-84.386826,GA
66,Environment,View Project,M,18-24,married,2a4143f5b6d94db197039596cfc59b4a,iOS,1393635150,40.189788,-105.35528,CO
67,Sports,View Project,F,18-24,married,2a74d0885a734d9ab91a5b31159a3b87,android,1393635250,41.261699,-75.849123,PA
68,Environment,View Project,M,55+,married,8b1b1e3710b64002a027d080747adb28,iOS,1393635354,40.129468,-86.185273,IN
69,Sports,View Project,F,18-24,married,d9f045316f1a42378306ccc1209563ed,iOS,1393635374,45.45509,-122.696724,OR
70,Environment,View Project,M,18-24,married,f0be83df6f2b40f5a2d090372ad9f333,iOS,1393635395,33.752456,-84.392026,GA
71,Sports,View Project,F,35-44,married,53935a65aea244e481f288fc99b2ee12,iOS,1393635396,40.779211,-86.749521,IN
72,Environment,View Project,M,35-44,married,8d1aaa665f204d7a8b48a500c0f44018,android,1393635399,42.226452,-71.792506,MA
73,Sports,View Project,F,35-44,married,2fde14bbc5574f38ab847672f306c1e7,iOS,1393635569,39.391505,-86.109534,IN
74,Sports,View Project,F,25-34,single,2a458533a18a4d1bb7a1c4413fbfda2c,android,1393635573,40.700201,-73.620872,NY
75,Sports,View Project,M,35-44,married,374334f88d36462d9635f717b0b8fd7e,iOS,1393635584,25.558428,-80.458168,FL
76,Environment,View Project,F,18-24,married,a314414727d54eecb68ca92e8a8ca10a,iOS,1393635663,35.089664,-85.335675,TN
77,Environment,View Project,F,18-24,married,2e510631e130461882d56511860027b5,android,1393635687,45.408374,-122.691388,OR
78,Sports,View Project,U,25-34,married,bc80cbe48be1409ca39887f3e88c82be,iOS,1393635705,40.533131,-86.822842,IN
79,Sports,View Project,U,18-24,married,74647641368342b99e4d0e3195292fc8,iOS,1393635710,45.408374,-122.691388,OR
80,Sports,View Project,M,45-54,single,4d5048ab18ff465c93e7683ad4cafd76,iOS,1393635725,44.634126,-85.703494,MI
81,Sports,View Project,F,18-24,single,d2e3dfa6ca8843a7bcde4288c01d99e4,android,1393635818,45.408374,-122.691388,OR
82,Environment,View Project,F,18-24,single,bf162c01bf484c62be781f1276f20c9f,iOS,1393635826,26.381132,-80.170567,FL
83,Sports,View Project,M,35-44,single,48e8bf238a794d5292b277697d4062e0,android,1393635858,33.482033,-111.735322,AZ
84,Environment,View Project,F,18-24,single,16f3ea7d3a1a4ca299287cd99997d400,android,1393635861,43.075461,-87.999511,WI
85,Sports,View Project,M,18-24,married,74c4da668d8a4e04b6e6abaf12533b38,android,1393635863,40.122477,-104.935838,CO
86,Environment,View Project,F,55+,married,b1571bc5490945c6bc24b29b3b5b429d,android,1393635863,31.897242,-106.564782,TX
87,Sports,View Project,F,35-44,married,1d8b643096df409284fce5bd723e7de2,android,1393635867,39.950457,-83.890862,OH
88,Environment,View Project,F,25-34,single,8cfe8c7f9150424fab2b5803010afacf,iOS,1393635905,39.667429,-104.775265,CO
89,Environment,View Project,M,25-34,married,fe0164f06bc9403695818360e0b47e38,iOS,1393635934,39.07884,-86.592389,IN
90,Environment,View Project,F,25-34,married,002a9c51650d47f281518d91717c8d31,iOS,1393635965,40.354088,-86.118782,IN
91,Environment,View Project,F,18-24,married,c5864c038b12492abb231d3fd268b3e4,iOS,1393635986,45.343615,-122.664926,OR
92,Sports,View Project,F,35-44,married,979ac4f6f50b4515a3133fcaab988533,iOS,1393636009,40.95841,-86.129366,IN
93,Environment,View Project,F,55+,married,0ae68e73947e4f5cbf860ba580a3e167,iOS,1393636035,39.974404,-86.082936,IN
94,Sports,View Project,M,25-34,married,ff73db1a4d5e4edca651614c97007d87,iOS,1393636050,43.140909,-87.942653,WI
95,Environment,View Project,M,25-34,married,64951a18b6b14bf088d1a09c8b5a66a7,iOS,1393636108,40.694298,-86.204238,IN
96,Sports,View Project,F,18-24,married,ac71b9f91e4e4356b43d9f25cedd1552,iOS,1393636151,40.087835,-105.373507,CO
97,Environment,View Project,M,18-24,married,6063053ac84646c3a5ca39f058aec683,android,1393636259,45.408077,-122.723058,OR
98,Sports,View Project,U,35-44,single,c85c1b39718a4bf19fd5582ea9b8242e,iOS,1393636321,39.781747,-82.664536,OH
99,Sports,View Project,F,45-54,single,1db9687c321d4c3bbfec05901ac0c2a6,android,1393636360,27.925501,-82.725852,FL
100,Environment,View Project,M,18-24,married,a2758b9c2938482bba0f863a1c61f33a,android,1393636383,45.408077,-122.723058,OR
101,Environment,View Project,F,18-24,single,146ffe588b114520869e3daa19d400a5,iOS,1393636482,33.794055,-84.377326,GA
102,Sports,View Project,F,45-54,married,7f5fabcc48a64e8b9652139be6497eae,android,1393636496,41.851961,-72.738939,CT
103,Sports,View Project,F,18-24,married,ff318b3698aa4b70b11c53d9f0d2b6e0,android,1393636555,40.661096,-73.952295,NY
104,Sports,View Project,F,18-24,married,3bf85cb830e04c8dae2cc3baa0fa0891,iOS,1393636559,33.794055,-84.377326,GA
105,Sports,View Project,M,25-34,married,e48bf61b334b46f184426df12ccc51d0,iOS,1393636670,38.890524,-86.525843,IN
106,Environment,View Project,M,45-54,single,2f69ee9e56bc40cc8e7c4b6b51fefab7,android,1393636705,40.788723,-81.850598,OH
107,Environment,View Project,F,45-54,married,a5bdbdb41e224a58bf87d64a504be8a9,android,1393636720,29.399933,-98.537495,TX
108,Sports,View Project,U,18-24,single,d078b03ea59f4d95bee04c2ecc21a22f,android,1393636722,33.797854,-84.387726,GA
109,Environment,View Project,M,18-24,married,2fcc2b00226b4802b561c8b635ff6bff,iOS,1393636735,39.776986,-105.108182,CO
110,Environment,View Project,F,18-24,married,920c9110b4a541cab594af851c437a31,iOS,1393636791,33.776305,-84.397976,GA
111,Environment,View Project,M,18-24,single,26b40a605dba4bbb863f7461a46c7c04,android,1393636895,39.863369,-105.172429,CO
112,Sports,View Project,F,55+,single,dc9656036554432e9b0af44805fed384,iOS,1393636898,27.844612,-81.835864,FL
113,Sports,View Project,M,18-24,single,453e4e46b9184279a982eb00b73e7bb9,iOS,1393636939,40.623632,-74.093323,NY
114,Environment,View Project,F,18-24,married,78084ef46af740b9a698f69cff9d24a2,android,1393636948,48.935767,-122.366448,WA
115,Sports,View Project,M,45-54,married,f2a13f4f7d57440ea6fa6e33f92e3fcb,android,1393637003,39.614737,-75.701277,DE
116,Sports,View Project,M,18-24,single,f44a480fc39f457a82243e18689e0827,iOS,1393637046,45.408077,-122.723058,OR
117,Sports,View Project,F,25-34,married,cb9da8af120b4c85ab29e74bf6d8b382,iOS,1393637079,33.857218,-116.720427,CA
118,Sports,View Project,U,18-24,married,8666cde46d7a4def9f746095b8bf2fd2,android,1393637095,33.776305,-84.397976,GA
119,Environment,View Project,M,25-34,married,38f3771f3cc4421ab3a607cba9185fbb,iOS,1393637121,40.40993,-85.571035,IN
120,Environment,View Project,M,55+,married,2dcbd126b5c74fd886f6a6e30bdc077c,android,1393637135,45.003335,-93.487482,MN
121,Sports,View Project,M,55+,single,405ec440ca524be29e9b451478c0300a,android,1393637201,40.658825,-73.84382,NY
122,Environment,View Project,U,55+,married,e0135970da124d1db4d8fa613d43ab94,iOS,1393637455,45.086044,-94.185096,MN
123,Environment,View Project,F,18-24,single,9168545be07a46f3b804985c6c156c8f,iOS,1393637468,40.360942,-75.927852,PA
124,Sports,View Project,M,45-54,single,26fdf3f7ce85429c9c54f9e48dc77172,android,1393637550,37.098119,-88.851344,KY
125,Sports,View Project,F,18-24,married,9478c4019d7146b69e7b974c07fa2a15,iOS,1393637584,40.122477,-104.935838,CO
126,Environment,View Project,M,45-54,married,8b9b8f954191447bb9de2589510cfa59,android,1393637589,42.620607,-82.960775,MI
127,Sports,View Project,F,18-24,single,27b107c1563846bc97e41e208174324e,iOS,1393637629,33.794055,-84.377326,GA
128,Environment,View Project,F,18-24,married,6b3cc31bdc13499ea2b776fe82550530,iOS,1393637713,33.724907,-84.468329,GA
129,Environment,View Project,F,25-34,single,11b2af8d64fd4d49b8a527b7c6f5f9a4,iOS,1393637730,36.211148,-81.129235,NC
130,Environment,View Project,M,18-24,married,29e0857c219a435092b39cb2fb7059de,iOS,1393637741,40.427541,-105.383062,CO
131,Environment,View Project,F,18-24,married,2ee0cf6031cc42e8a149b92e44e9dfa1,iOS,1393637743,36.503789,-82.496969,TN
132,Environment,View Project,F,45-54,married,63b59dd5a5084c5589fe231742bc0497,iOS,1393637808,40.005999,-85.44341,IN
133,Sports,View Project,F,18-24,married,b14a763475c24503902d5d95d42f3208,iOS,1393637850,45.408374,-122.691388,OR
134,Sports,View Project,F,25-34,single,a08cb846a1d1488ea81e32b727fe6ca5,iOS,1393637861,30.372821,-89.377942,MS
135,Sports,View Project,F,45-54,single,35780fda8692447486c1dd78861b9a33,iOS,1393637905,41.718107,-93.012335,IA
136,Sports,View Project,M,25-34,married,b15493374f2b47f3b48ce9576ecfffb9,iOS,1393637945,40.578034,-85.878104,IN
137,Sports,View Project,F,55+,single,848a879f21bc481ca25f3525a62b9a2f,iOS,1393637948,25.558428,-80.458168,FL
138,Sports,View Project,M,35-44,married,84428c4c3d34486f8391b71ea59dcdff,android,1393637975,35.703306,-118.413077,CA
139,Sports,View Project,F,55+,single,bee5edefe7464a9ea7ae3ab32b5d9afa,iOS,1393638047,22.213592,-159.482796,HI
140,Environment,View Project,M,18-24,single,e3340a2b5c634b4fa1afa6268f8e8318,iOS,1393638183,40.427541,-105.383062,CO
141,Environment,View Project,F,18-24,single,ff511dee51e448d9a7c0c80600552206,iOS,1393638251,45.45509,-122.696724,OR
142,Environment,View Project,F,18-24,single,3c0237c7353d42ca91fe3db5783d0fcf,iOS,1393638277,45.45509,-122.696724,OR
143,Environment,View Project,F,45-54,single,27e45085d6ea4e6eaa874deb0a2de1d0,iOS,1393638327,32.868023,-97.217416,TX
144,Sports,View Project,U,55+,single,a007fd4ea3724873bb16ea818bc77d39,android,1393638358,42.056938,-91.573963,IA
145,Sports,View Project,U,25-34,single,d3c7e2512bae4643a21a3c033fce8b9c,iOS,1393638525,38.704805,-81.914474,WV
146,Sports,View Project,F,18-24,married,b4eb600d502342a7b3477bdc5aa0fac5,iOS,1393638605,40.011128,-85.383768,IN
147,Environment,View Project,F,35-44,single,1a993187481a4974891bc3265cc8c1d3,iOS,1393638629,34.612417,-92.493519,AR
148,Sports,View Project,F,18-24,married,bfc1c4065cc746c39d88873d7509f733,iOS,1393638646,40.782613,-86.919278,IN
149,Environment,View Project,M,18-24,married,2eaffbc59efb45a59adff946cb8e6d13,iOS,1393638654,39.980835,-105.269915,CO
150,Sports,View Project,F,18-24,married,986b1eadd6ef4781952f3735ad3188ca,iOS,1393638712,45.343615,-122.664926,OR
151,Environment,View Project,M,18-24,married,c8f745f375474a39bfdb30877e0237fc,android,1393638718,39.814481,-105.128173,CO
152,Sports,View Project,M,35-44,married,7702b71354dd48269f145b6669c43161,android,1393638744,40.039169,-119.640601,NV
153,Environment,View Project,F,18-24,married,58d909951871461182a549eaf2566946,iOS,1393638772,33.752456,-84.392026,GA
154,Environment,View Project,M,18-24,married,aa1ca3eed66244b79e8474f1be586d77,android,1393638811,40.067772,-105.27484,CO
155,Environment,View Project,U,18-24,single,a6743aac42184b2097c73d18dba9e935,android,1393638856,33.724907,-84.468329,GA
156,Environment,View Project,U,18-24,married,0932c3457f7940ddaeb86348ee5d6b50,iOS,1393638980,41.811929,-87.68732,IL
157,Sports,View Project,M,18-24,single,48effab811b649efbbb430eb86e171c5,android,1393639025,33.757806,-84.433649,GA
158,Sports,View Project,M,18-24,single,0091aa82a3fb42669eaf44aa2e8d1a99,iOS,1393639040,40.726001,-74.047304,NJ
159,Sports,View Project,F,55+,married,dc1b5202f4f64924b9ad4464a3dcd888,iOS,1393639098,40.633157,-73.996953,NY
160,Sports,View Project,F,18-24,single,f1ceb20eb508474cb774ba8e36e5bcdc,iOS,1393639349,45.343615,-122.664926,OR
161,Sports,View Project,F,18-24,married,7cca696b397f424e8da3ca4f65f76c0e,iOS,1393639415,33.752456,-84.392026,GA
162,Sports,View Project,F,18-24,married,ee79d3a6cc504e0394d2b895696748b8,iOS,1393639451,40.709098,-73.356164,NY
163,Environment,View Project,M,18-24,single,a65a3efd18444a5f8e17a0ff71a7d1cb,android,1393639511,33.757806,-84.433649,GA
164,Environment,View Project,F,45-54,single,3b36e59213e44fb4a9a35b9b5c739f2e,iOS,1393639525,41.869829,-88.003864,IL
165,Environment,View Project,M,18-24,single,7f9c6efbf9964e8095772961442dd2d7,android,1393639526,45.408374,-122.691388,OR
166,Sports,View Project,F,18-24,married,571edb4ace104c94a4c82f1b48ed9743,iOS,1393639535,45.343615,-122.664926,OR
167,Environment,View Project,F,45-54,married,faca630302a5441ca2ccae1d7df2daf1,iOS,1393639578,39.222063,-87.425279,IN
168,Sports,View Project,F,18-24,single,5fd22dafbdeb4995ad0d094fe5aebb92,iOS,1393639621,33.786594,-118.298662,CA
169,Environment,View Project,U,18-24,single,f8f974f8110e42afa7a4c972afa56409,android,1393639790,37.611,-121.103547,CA
170,Environment,View Project,F,18-24,single,5791572cfe0e46d29c43e5e32dbaf5f0,android,1393639792,45.408374,-122.691388,OR
171,Sports,View Project,U,18-24,single,7d6dc66537b1418d83ca1032314d6593,iOS,1393639798,33.776305,-84.397976,GA
172,Environment,View Project,F,18-24,single,78641f5e860d47edbd78a140397d0392,android,1393639822,40.129416,-104.970816,CO
173,Environment,View Project,M,45-54,single,b72a841809e04e14b322eede689d89e6,iOS,1393639947,33.932663,-118.009085,CA
174,Sports,View Project,M,45-54,married,194e162e007e496b830e647b0b2bacf7,iOS,1393639967,38.84003,-86.194693,IN
175,Sports,View Project,M,18-24,single,590abc8d6038444a84efc1c9661b2d57,android,1393640122,45.45509,-122.696724,OR
176,Environment,View Project,F,18-24,married,0045a427d12945e8863ce57d5e6ee049,android,1393640187,33.563121,-102.026405,TX
177,Sports,View Project,F,25-34,married,7804a82314c44033b7df35fa20142ee8,iOS,1393640194,40.271524,-85.72808,IN
178,Sports,View Project,F,55+,married,7b39929d8d38449b88b070531470739f,iOS,1393640206,39.893845,-85.013775,IN
179,Sports,View Project,M,25-34,married,b73ca2c6b67846c88df8443daf2ebf0f,iOS,1393640267,39.878933,-85.464036,IN
180,Sports,View Project,M,55+,married,2a02e2381b1140d1b15a10cc755fbc7a,iOS,1393640327,40.6729,-73.53652,NY
181,Environment,View Project,F,18-24,married,f88269eca9a54d108a6a284f116d08ae,iOS,1393640652,45.45509,-122.696724,OR
182,Sports,View Project,F,35-44,married,14be9bc175104a7395688cbb16a9a5e2,android,1393640694,40.373438,-76.682667,PA
183,Sports,View Project,F,45-54,married,08c3bbab3366485fb8ca349cac07fc1b,iOS,1393640836,39.897708,-86.009447,IN
184,Sports,View Project,M,45-54,married,a5df3e1caea848e99ce399ecf0a6e9ec,iOS,1393640926,39.236906,-87.674977,IL
185,Sports,View Project,F,25-34,married,9a3a3b2c43be499f862c3ba4e38bf71f,iOS,1393640989,39.505836,-87.342968,IN
186,Sports,View Project,M,45-54,single,971cda849ded4679a44666453f18acfc,android,1393641050,42.02285,-70.931056,MA
187,Environment,View Project,M,55+,married,68a8840f0fca4fc7b150a27d65b3536e,iOS,1393641069,38.895608,-86.525522,IN
188,Sports,View Project,M,25-34,single,93bacd9ee3f14fd7a333f5db86e97453,iOS,1393641138,39.707332,-104.964236,CO
189,Sports,View Project,F,25-34,married,ea64939231d6417b9bfee7458b097c11,android,1393641142,40.7735,-74.397996,NJ
190,Environment,View Project,M,18-24,married,ae4ec1e4995a4d2aaf71e3ce49dac144,android,1393641229,36.058599,-80.320965,NC
191,Environment,View Project,F,55+,married,439be28c88da4dd68cec8fe4dac73d34,iOS,1393641392,40.472672,-85.326447,IN
192,Sports,View Project,M,18-24,married,d89f3a9996af4f0dada73f98a8770ed3,iOS,1393641473,39.829821,-105.270395,CO
193,Environment,View Project,F,18-24,single,f4bdf625ed4d49e480af76b114f97fa1,android,1393641671,39.885388,-105.11389,CO
194,Environment,View Project,M,18-24,single,b81bfcae273d4bd5aefbd70f8ea84d2f,iOS,1393641677,45.45509,-122.696724,OR
195,Sports,View Project,U,18-24,married,b366def7f2ad41f4958fc32020cf5d5c,iOS,1393641837,40.063935,-105.390027,CO
196,Sports,View Project,F,45-54,married,007a4e95bbb049489fe2c9544ea24bc4,android,1393641891,33.752886,-116.055617,CA
197,Environment,View Project,F,18-24,married,abfb841f0ce64605bd35d1a3eb006ae0,iOS,1393641911,39.427654,-86.533865,IN
198,Sports,View Project,F,55+,married,4951226ba3334e1c8c185244888dce32,iOS,1393641959,39.782841,-86.081084,IN
199,Sports,View Project,F,18-24,married,1ea1763d192b43349d3d5873f96b48db,iOS,1393642011,40.44673,-85.650398,IN
200,Sports,View Project,M,45-54,married,e3c92fb07e694b418d123098f3a9f5ae,android,1393642044,34.004311,-118.0441,CA
201,Environment,View Project,F,18-24,married,3917719a464e44c3adea6cecd37153b1,iOS,1393642168,33.724907,-84.468329,GA
202,Sports,View Project,F,25-34,married,e390f3c545f04e378720f2ef7575d3ae,iOS,1393642174,40.80813,-73.965653,NY
203,Environment,View Project,F,18-24,married,72fcf70f8e8540d3800a2e623c859999,iOS,1393642321,45.343615,-122.664926,OR
204,Environment,View Project,M,35-44,married,7968b877eb8b4a15a7006888c1447f5f,iOS,1393642368,40.40993,-85.571035,IN
205,Sports,View Project,F,55+,married,32ca7052e2b749ef969961a17e332957,iOS,1393642390,37.189396,-121.705327,CA
206,Environment,View Project,M,55+,married,25023d8c4ba74d45a67ae8f1df99d0a4,iOS,1393642407,40.606541,-87.311247,IN
207,Sports,View Project,F,25-34,married,9a6ee9fcc1654d48ae6d9079e49ff9b2,android,1393642410,41.43349,-81.632298,OH
208,Environment,View Project,M,18-24,married,d23e92ea0e974828b83d0a45b9f8ad44,iOS,1393642658,39.442888,-86.669559,IN
209,Environment,View Project,F,18-24,married,917195749c684fe88d2f83bdffded38b,iOS,1393642664,38.352759,-86.912488,IN
210,Sports,View Project,U,18-24,married,b8f7cf11a6fe404d919cd9ed6c73f2b7,android,1393642979,45.343615,-122.664926,OR
211,Sports,View Project,F,45-54,single,c8c37db8f9354da1bcac0e6fc623759d,iOS,1393643005,40.730223,-73.988564,NY
212,Sports,View Project,F,45-54,single,30c89b2375c0475da0782be67f2d4db2,android,1393643064,34.262252,-78.625479,NC
213,Environment,View Project,M,25-34,married,856dc315c5bd4ac08d7b4dc89b987494,iOS,1393643176,40.271524,-85.72808,IN
214,Sports,View Project,F,18-24,married,82c7739099b348bfb1a64053616ec55d,iOS,1393643271,33.724907,-84.468329,GA
215,Environment,View Project,M,35-44,single,981e0596e6cf49248eda22826342ef0d,iOS,1393643312,36.890747,-76.23516,VA
216,Environment,View Project,F,18-24,married,1cbb8b4846314cdcb2810c417daa99e3,android,1393643325,44.552247,-88.078803,WI
217,Environment,View Project,F,18-24,married,b8aba036a2724e6a825acf48f6f9716e,iOS,1393643334,33.792005,-84.442778,GA
218,Sports,View Project,M,35-44,married,6ac445244da74a8aa27fa4c1e0dcb228,iOS,1393643343,38.586595,-86.451946,IN
219,Environment,View Project,M,18-24,married,4ebdf614dee54bfeae7ebf0190a64942,iOS,1393643357,33.792005,-84.442778,GA
220,Environment,View Project,M,18-24,married,6c8f8eeda03c4bc2871a60c6e12068dc,android,1393643388,33.760505,-84.399626,GA
221,Environment,View Project,F,18-24,married,891469909b9b4adf98600336e62e7d0e,iOS,1393643404,45.408374,-122.691388,OR
222,Environment,View Project,F,18-24,single,37f8b2dabf454e5b9346c692095e4a6d,android,1393643495,37.238666,-88.375665,KY
